,cat,pid,tid,latency_us,ts,ph,node,operator,args_thread_scheduling_stats,args_input_type_shape,args_parameter_size,args_activation_size,args_node_index,args_output_size,args_provider,args_output_type_shape
44,Node,11178,11178,0,396125,X,Reshape_fence_before,Reshape,,,,,,,,
45,Node,11178,11178,22,396126,X,Reshape,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 13, 'core': 40}, '139996788307712': {'num_run': 13, 'core': 32}, '139996645697280': {'num_run': 13, 'core': 21}, '139996779915008': {'num_run': 13, 'core': 45}, '139996771522304': {'num_run': 13, 'core': 15}, '139996763129600': {'num_run': 13, 'core': 11}, '139996754736896': {'num_run': 13, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'int64': [5]}]",40,15155200,132,15155200,CPUExecutionProvider,"[{'float': [1, 16, 200, 148, 8]}]"
46,Node,11178,11178,0,396153,X,Reshape_fence_after,Reshape,,,,,,,,
47,Node,11178,11178,0,396155,X,Add_2_fence_before,Add,,,,,,,,
48,Node,11178,11178,1672,396156,X,Add_2,Add,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [118400], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 1580, 'Wait': 5, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 14, 'core': 40}, '139996788307712': {'num_run': 14, 'core': 32}, '139996645697280': {'num_run': 14, 'core': 21}, '139996779915008': {'num_run': 14, 'core': 45}, '139996771522304': {'num_run': 14, 'core': 15}, '139996763129600': {'num_run': 14, 'core': 11}, '139996754736896': {'num_run': 14, 'core': 35}}}","[{'float': [1, 16, 200, 148, 8]}, {'float': [1, 16, 200, 148, 8]}]",0,30310400,34,15155200,CPUExecutionProvider,"[{'float': [1, 16, 200, 148, 8]}]"
49,Node,11178,11178,0,397858,X,Add_2_fence_after,Add,,,,,,,,
50,Node,11178,11178,0,397865,X,Reshape_gme_36_fence_before,Reshape,,,,,,,,
51,Node,11178,11178,28,397867,X,Reshape_gme_36,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 14, 'core': 40}, '139996788307712': {'num_run': 14, 'core': 32}, '139996645697280': {'num_run': 14, 'core': 21}, '139996779915008': {'num_run': 14, 'core': 45}, '139996771522304': {'num_run': 14, 'core': 15}, '139996763129600': {'num_run': 14, 'core': 11}, '139996754736896': {'num_run': 14, 'core': 35}}}","[{'float': [1, 16, 200, 148, 8]}, {'int64': [4]}]",32,15155200,134,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
52,Node,11178,11178,0,397899,X,Reshape_gme_36_fence_after,Reshape,,,,,,,,
53,Node,11178,11178,0,397902,X,Relu_8_fence_before,Relu,,,,,,,,
54,Node,11178,11178,152,397903,X,Relu_8,Relu,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [118400], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 99, 'Wait': 23, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 15, 'core': 40}, '139996788307712': {'num_run': 15, 'core': 32}, '139996645697280': {'num_run': 15, 'core': 21}, '139996779915008': {'num_run': 15, 'core': 45}, '139996771522304': {'num_run': 15, 'core': 15}, '139996763129600': {'num_run': 15, 'core': 11}, '139996754736896': {'num_run': 15, 'core': 35}}}","[{'float': [1, 128, 200, 148]}]",0,15155200,35,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
55,Node,11178,11178,0,398059,X,Relu_8_fence_after,Relu,,,,,,,,
56,Node,11178,11178,0,398062,X,FusedConv_nchwc_gme_40_fence_before,Conv,,,,,,,,
57,Node,11178,11178,17037,398064,X,FusedConv_nchwc_gme_40,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 16719, 'Wait': 271, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 16, 'core': 40}, '139996788307712': {'num_run': 16, 'core': 32}, '139996645697280': {'num_run': 16, 'core': 21}, '139996779915008': {'num_run': 16, 'core': 45}, '139996771522304': {'num_run': 16, 'core': 15}, '139996763129600': {'num_run': 16, 'core': 11}, '139996754736896': {'num_run': 16, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'float': [128, 128, 3, 3]}, {'float': [128]}]",590336,15155200,135,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
58,Node,11178,11178,0,415108,X,FusedConv_nchwc_gme_40_fence_after,Conv,,,,,,,,
59,Node,11178,11178,0,415113,X,Conv_nchwc_gme_43_fence_before,Conv,,,,,,,,
60,Node,11178,11178,25187,415114,X,Conv_nchwc_gme_43,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 4, 'DistributionEnqueue': 1, 'Run': 16549, 'Wait': 74, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 17, 'core': 40}, '139996788307712': {'num_run': 17, 'core': 32}, '139996645697280': {'num_run': 17, 'core': 21}, '139996779915008': {'num_run': 17, 'core': 45}, '139996771522304': {'num_run': 17, 'core': 15}, '139996763129600': {'num_run': 17, 'core': 11}, '139996754736896': {'num_run': 17, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'float': [128, 128, 3, 3]}, {'float': [128]}, {'float': [1, 128, 200, 148]}]",590336,30310400,136,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
61,Node,11178,11178,0,440312,X,Conv_nchwc_gme_43_fence_after,Conv,,,,,,,,
62,Node,11178,11178,0,440327,X,FusedConv_nchwc_gme_51_fence_before,Conv,,,,,,,,
63,Node,11178,11178,9148,440330,X,FusedConv_nchwc_gme_51,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 9010, 'Wait': 55, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 18, 'core': 40}, '139996788307712': {'num_run': 18, 'core': 32}, '139996645697280': {'num_run': 18, 'core': 21}, '139996779915008': {'num_run': 18, 'core': 45}, '139996771522304': {'num_run': 18, 'core': 15}, '139996763129600': {'num_run': 18, 'core': 11}, '139996754736896': {'num_run': 18, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'float': [256, 128, 3, 3]}, {'float': [256]}]",1180672,15155200,139,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
64,Node,11178,11178,0,449488,X,FusedConv_nchwc_gme_51_fence_after,Conv,,,,,,,,
65,Node,11178,11178,0,449506,X,Conv_nchwc_gme_54_fence_before,Conv,,,,,,,,
66,Node,11178,11178,16924,449508,X,Conv_nchwc_gme_54,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 16740, 'Wait': 126, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 19, 'core': 40}, '139996788307712': {'num_run': 19, 'core': 32}, '139996645697280': {'num_run': 19, 'core': 21}, '139996779915008': {'num_run': 19, 'core': 45}, '139996771522304': {'num_run': 19, 'core': 15}, '139996763129600': {'num_run': 19, 'core': 11}, '139996754736896': {'num_run': 19, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'float': [256, 256, 3, 3]}, {'float': [256]}]",2360320,7577600,140,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
67,Node,11178,11178,0,466439,X,Conv_nchwc_gme_54_fence_after,Conv,,,,,,,,
68,Node,11178,11178,0,466446,X,Reshape_gme_59_fence_before,Reshape,,,,,,,,
69,Node,11178,11178,24,466447,X,Reshape_gme_59,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 19, 'core': 40}, '139996788307712': {'num_run': 19, 'core': 32}, '139996645697280': {'num_run': 19, 'core': 21}, '139996779915008': {'num_run': 19, 'core': 45}, '139996771522304': {'num_run': 19, 'core': 15}, '139996763129600': {'num_run': 19, 'core': 11}, '139996754736896': {'num_run': 19, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'int64': [5]}]",40,7577600,142,7577600,CPUExecutionProvider,"[{'float': [1, 32, 100, 74, 8]}]"
70,Node,11178,11178,0,466474,X,Reshape_gme_59_fence_after,Reshape,,,,,,,,
71,Node,11178,11178,0,466477,X,AveragePool_nchwc_gme_45_fence_before,AveragePool,,,,,,,,
72,Node,11178,11178,346,466478,X,AveragePool_nchwc_gme_45,AveragePool,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 270, 'Wait': 45, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 20, 'core': 40}, '139996788307712': {'num_run': 20, 'core': 32}, '139996645697280': {'num_run': 20, 'core': 21}, '139996779915008': {'num_run': 20, 'core': 45}, '139996771522304': {'num_run': 20, 'core': 15}, '139996763129600': {'num_run': 20, 'core': 11}, '139996754736896': {'num_run': 20, 'core': 35}}}","[{'float': [1, 128, 200, 148]}]",0,15155200,137,3788800,CPUExecutionProvider,"[{'float': [1, 128, 100, 74]}]"
73,Node,11178,11178,0,466828,X,AveragePool_nchwc_gme_45_fence_after,AveragePool,,,,,,,,
74,Node,11178,11178,0,466830,X,Conv_nchwc_gme_48_fence_before,Conv,,,,,,,,
75,Node,11178,11178,1612,466831,X,Conv_nchwc_gme_48,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 1522, 'Wait': 17, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 21, 'core': 40}, '139996788307712': {'num_run': 21, 'core': 32}, '139996645697280': {'num_run': 21, 'core': 21}, '139996779915008': {'num_run': 21, 'core': 45}, '139996771522304': {'num_run': 21, 'core': 15}, '139996763129600': {'num_run': 21, 'core': 11}, '139996754736896': {'num_run': 21, 'core': 35}}}","[{'float': [1, 128, 100, 74]}, {'float': [256, 128, 1, 1]}, {'float': [256]}]",132096,3788800,138,7577600,CPUExecutionProvider,"[{'float': [1, 256, 100, 74]}]"
76,Node,11178,11178,0,468449,X,Conv_nchwc_gme_48_fence_after,Conv,,,,,,,,
77,Node,11178,11178,0,468454,X,Reshape_gme_57_fence_before,Reshape,,,,,,,,
78,Node,11178,11178,21,468456,X,Reshape_gme_57,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 21, 'core': 40}, '139996788307712': {'num_run': 21, 'core': 32}, '139996645697280': {'num_run': 21, 'core': 21}, '139996779915008': {'num_run': 21, 'core': 45}, '139996771522304': {'num_run': 21, 'core': 15}, '139996763129600': {'num_run': 21, 'core': 11}, '139996754736896': {'num_run': 21, 'core': 35}}}","[{'float': [1, 256, 100, 74]}, {'int64': [5]}]",40,7577600,141,7577600,CPUExecutionProvider,"[{'float': [1, 32, 100, 74, 8]}]"
79,Node,11178,11178,0,468481,X,Reshape_gme_57_fence_after,Reshape,,,,,,,,
80,Node,11178,11178,0,468483,X,Add_4_fence_before,Add,,,,,,,,
81,Node,11178,11178,157,468484,X,Add_4,Add,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [59200], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 100, 'Wait': 23, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 22, 'core': 40}, '139996788307712': {'num_run': 22, 'core': 32}, '139996645697280': {'num_run': 22, 'core': 21}, '139996779915008': {'num_run': 22, 'core': 45}, '139996771522304': {'num_run': 22, 'core': 15}, '139996763129600': {'num_run': 22, 'core': 11}, '139996754736896': {'num_run': 22, 'core': 35}}}","[{'float': [1, 32, 100, 74, 8]}, {'float': [1, 32, 100, 74, 8]}]",0,15155200,51,7577600,CPUExecutionProvider,"[{'float': [1, 32, 100, 74, 8]}]"
82,Node,11178,11178,0,468646,X,Add_4_fence_after,Add,,,,,,,,
